                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1202,                 1.0698,                 1.4621,                0.75367,                0.76239,                0.77923,                0.52635,                 1.2382,                  1.094,                 1.5383,               0.006634,               0.006634,               0.006634
                     36,                 1.1219,                 1.0703,                 1.4654,                0.76123,                0.75672,                0.77966,                0.52823,                 1.2351,                 1.0959,                 1.5346,               0.006535,               0.006535,               0.006535
                     37,                 1.1166,                 1.0623,                 1.4563,                0.75625,                0.76197,                 0.7808,                0.52911,                 1.2338,                 1.0957,                 1.5327,               0.006436,               0.006436,               0.006436
                     38,                 1.1133,                 1.0613,                 1.4579,                0.74925,                0.76628,                0.78039,                 0.5311,                 1.2298,                 1.0955,                  1.529,               0.006337,               0.006337,               0.006337
                     39,                 1.1082,                 1.0528,                 1.4496,                0.75422,                0.77042,                0.78245,                 0.5323,                 1.2253,                 1.0876,                 1.5236,               0.006238,               0.006238,               0.006238
                     40,                 1.0997,                 1.0401,                 1.4452,                0.75522,                0.77088,                0.78442,                0.53413,                 1.2207,                 1.0842,                  1.519,               0.006139,               0.006139,               0.006139
                     41,                 1.0945,                 1.0245,                 1.4345,                0.75486,                0.77078,                0.78452,                0.53524,                 1.2183,                  1.082,                 1.5161,                0.00604,                0.00604,                0.00604
                     42,                 1.0876,                 1.0222,                 1.4285,                0.75466,                0.77285,                0.78333,                0.53517,                  1.216,                 1.0793,                  1.514,               0.005941,               0.005941,               0.005941
                     43,                 1.0892,                 1.0153,                  1.429,                0.76074,                0.76642,                  0.784,                0.53621,                 1.2142,                 1.0779,                 1.5121,               0.005842,               0.005842,               0.005842
                     44,                 1.0837,                  1.002,                 1.4216,                   0.76,                 0.7666,                 0.7837,                0.53685,                 1.2128,                 1.0781,                 1.5107,               0.005743,               0.005743,               0.005743
                     45,                 1.0773,                0.99731,                 1.4203,                 0.7582,                0.76881,                0.78414,                0.53721,                 1.2117,                 1.0773,                 1.5099,               0.005644,               0.005644,               0.005644
                     46,                  1.076,                0.99573,                 1.4178,                0.75602,                0.76779,                0.78416,                0.53759,                 1.2097,                 1.0775,                 1.5079,               0.005545,               0.005545,               0.005545
                     47,                 1.0732,                0.99411,                  1.415,                0.75529,                0.76742,                0.78383,                0.53763,                 1.2084,                 1.0792,                 1.5071,               0.005446,               0.005446,               0.005446
                     48,                 1.0713,                0.98808,                 1.4087,                0.75942,                0.76509,                0.78437,                0.53819,                 1.2069,                 1.0785,                 1.5056,               0.005347,               0.005347,               0.005347
                     49,                 1.0646,                0.98299,                 1.4087,                0.75526,                0.76866,                0.78507,                 0.5391,                 1.2051,                 1.0777,                  1.504,               0.005248,               0.005248,               0.005248
                     50,                  1.062,                0.97303,                 1.4028,                0.75571,                 0.7676,                0.78541,                0.54026,                 1.2034,                 1.0774,                 1.5027,               0.005149,               0.005149,               0.005149
                     51,                 1.0601,                0.96434,                 1.3984,                 0.7553,                0.76962,                 0.7865,                0.54121,                 1.2018,                 1.0761,                 1.5011,                0.00505,                0.00505,                0.00505
                     52,                 1.0585,                0.95802,                 1.3987,                0.76098,                0.76644,                0.78731,                0.54186,                 1.2001,                 1.0747,                 1.4995,               0.004951,               0.004951,               0.004951
                     53,                 1.0523,                0.94736,                 1.3867,                0.75921,                0.76851,                0.78811,                0.54226,                 1.1981,                 1.0743,                 1.4976,               0.004852,               0.004852,               0.004852
                     54,                 1.0448,                0.94017,                 1.3834,                0.75805,                0.76739,                0.78801,                0.54296,                 1.1968,                  1.074,                 1.4965,               0.004753,               0.004753,               0.004753
                     55,                  1.047,                0.93978,                 1.3841,                0.76081,                0.76542,                0.78838,                0.54316,                 1.1951,                 1.0736,                 1.4948,               0.004654,               0.004654,               0.004654
                     56,                 1.0416,                0.93189,                 1.3802,                0.76312,                0.76327,                0.78848,                0.54432,                 1.1938,                 1.0736,                 1.4936,               0.004555,               0.004555,               0.004555
                     57,                 1.0381,                0.92619,                  1.379,                0.76455,                0.76467,                0.78897,                0.54468,                 1.1922,                 1.0723,                  1.492,               0.004456,               0.004456,               0.004456
                     58,                 1.0329,                0.91967,                  1.375,                0.76095,                 0.7679,                0.78879,                0.54541,                 1.1906,                 1.0708,                 1.4906,               0.004357,               0.004357,               0.004357
                     59,                 1.0272,                0.91955,                 1.3711,                0.76349,                0.76603,                  0.789,                0.54594,                 1.1894,                 1.0702,                 1.4892,               0.004258,               0.004258,               0.004258
                     60,                 1.0279,                0.90917,                 1.3702,                0.76416,                0.76525,                0.79045,                0.54734,                 1.1877,                 1.0682,                 1.4874,               0.004159,               0.004159,               0.004159
                     61,                 1.0209,                  0.905,                 1.3652,                0.76304,                0.76685,                0.79113,                0.54692,                 1.1864,                 1.0666,                 1.4861,                0.00406,                0.00406,                0.00406
                     62,                   1.02,                0.90153,                 1.3603,                0.76289,                0.76699,                0.79121,                0.54777,                 1.1852,                 1.0664,                 1.4849,               0.003961,               0.003961,               0.003961
                     63,                 1.0141,                0.88887,                 1.3565,                0.76495,                0.76616,                0.79182,                0.54814,                  1.184,                 1.0655,                  1.484,               0.003862,               0.003862,               0.003862
                     64,                 1.0086,                0.88993,                  1.353,                0.76763,                 0.7654,                0.79272,                0.54897,                 1.1833,                 1.0653,                 1.4828,               0.003763,               0.003763,               0.003763
                     65,                  1.009,                0.88599,                 1.3532,                0.76832,                0.76642,                0.79322,                0.54975,                 1.1822,                 1.0655,                 1.4817,               0.003664,               0.003664,               0.003664
                     66,                  1.003,                0.87776,                 1.3492,                0.77213,                0.76404,                0.79351,                0.54988,                  1.181,                  1.066,                 1.4808,               0.003565,               0.003565,               0.003565
                     67,                0.99985,                0.86716,                 1.3437,                0.77086,                0.76396,                0.79395,                0.55095,                 1.1801,                 1.0654,                 1.4799,               0.003466,               0.003466,               0.003466
                     68,                0.99545,                0.86119,                 1.3384,                0.77225,                0.76253,                0.79449,                0.55186,                 1.1789,                 1.0671,                 1.4787,               0.003367,               0.003367,               0.003367
                     69,                0.98904,                 0.8566,                 1.3339,                0.77279,                0.76304,                0.79525,                 0.5525,                 1.1777,                 1.0674,                 1.4773,               0.003268,               0.003268,               0.003268
                     70,                0.99085,                0.85482,                 1.3353,                0.77296,                 0.7613,                0.79516,                0.55285,                 1.1764,                 1.0662,                 1.4758,               0.003169,               0.003169,               0.003169
                     71,                0.98557,                0.85007,                 1.3338,                0.77392,                0.76103,                0.79584,                 0.5537,                 1.1747,                 1.0659,                 1.4742,                0.00307,                0.00307,                0.00307
                     72,                0.98287,                 0.8465,                 1.3297,                0.77278,                 0.7623,                0.79589,                0.55414,                 1.1731,                 1.0664,                 1.4726,               0.002971,               0.002971,               0.002971
                     73,                0.97604,                 0.8412,                 1.3268,                0.77383,                0.76226,                0.79659,                0.55486,                 1.1717,                 1.0665,                 1.4712,               0.002872,               0.002872,               0.002872
                     74,                0.97229,                0.83513,                 1.3229,                0.77214,                0.76145,                0.79584,                0.55565,                 1.1704,                  1.066,                 1.4701,               0.002773,               0.002773,               0.002773
                     75,                0.97424,                0.83872,                  1.323,                0.77201,                0.76133,                 0.7959,                0.55589,                 1.1687,                 1.0647,                 1.4683,               0.002674,               0.002674,               0.002674
                     76,                0.96604,                0.82403,                 1.3171,                0.77149,                0.76244,                0.79669,                0.55672,                 1.1674,                 1.0638,                 1.4668,               0.002575,               0.002575,               0.002575
                     77,                0.96247,                0.81897,                 1.3135,                0.77641,                0.76096,                0.79661,                0.55756,                 1.1664,                 1.0634,                 1.4659,               0.002476,               0.002476,               0.002476
                     78,                0.96528,                 0.8159,                 1.3128,                0.77415,                0.76331,                0.79701,                0.55864,                 1.1652,                 1.0631,                 1.4646,               0.002377,               0.002377,               0.002377
                     79,                0.95091,                0.80556,                 1.3054,                0.77544,                0.76335,                0.79782,                 0.5595,                 1.1641,                 1.0625,                 1.4633,               0.002278,               0.002278,               0.002278
                     80,                0.95336,                0.80405,                 1.3033,                0.77563,                0.76334,                 0.7977,                0.56051,                 1.1629,                 1.0624,                 1.4621,               0.002179,               0.002179,               0.002179
                     81,                0.94465,                0.79651,                 1.2975,                0.77815,                0.76275,                0.79858,                0.56019,                 1.1618,                 1.0624,                 1.4608,                0.00208,                0.00208,                0.00208
                     82,                0.94428,                0.79971,                 1.2994,                0.77712,                0.76461,                0.79949,                 0.5614,                 1.1604,                  1.062,                 1.4593,               0.001981,               0.001981,               0.001981
                     83,                 0.9456,                0.79162,                 1.2974,                0.77829,                0.76484,                0.79989,                 0.5623,                 1.1595,                 1.0613,                 1.4582,               0.001882,               0.001882,               0.001882
                     84,                0.93715,                0.78307,                 1.2907,                0.77835,                 0.7669,                0.80058,                0.56322,                 1.1587,                 1.0612,                 1.4572,               0.001783,               0.001783,               0.001783
                     85,                0.93793,                0.78326,                  1.292,                0.77595,                0.76922,                0.80082,                0.56288,                 1.1581,                 1.0605,                 1.4563,               0.001684,               0.001684,               0.001684
                     86,                0.93127,                0.77464,                 1.2863,                 0.7702,                0.77001,                0.80087,                0.56317,                 1.1573,                 1.0615,                 1.4556,               0.001585,               0.001585,               0.001585
                     87,                0.92333,                0.76736,                 1.2819,                0.78758,                0.75707,                0.80091,                0.56455,                 1.1564,                 1.0612,                  1.455,               0.001486,               0.001486,               0.001486
                     88,                0.92113,                0.76377,                   1.28,                0.78933,                0.75658,                0.80101,                0.56603,                 1.1556,                 1.0618,                 1.4541,               0.001387,               0.001387,               0.001387
                     89,                0.91825,                0.75813,                 1.2761,                0.78334,                0.76224,                 0.8012,                0.56537,                 1.1543,                  1.062,                 1.4532,               0.001288,               0.001288,               0.001288
                     90,                0.91563,                 0.7515,                 1.2764,                0.78385,                0.76228,                0.80061,                0.56662,                  1.154,                 1.0622,                 1.4528,               0.001189,               0.001189,               0.001189
                     91,                  0.904,                 0.6142,                 1.2768,                0.78464,                0.76349,                0.80109,                 0.5676,                 1.1534,                 1.0622,                 1.4522,                0.00109,                0.00109,                0.00109
                     92,                0.88539,                0.59452,                 1.2678,                0.78602,                0.76306,                0.80096,                0.56783,                 1.1524,                 1.0619,                 1.4512,               0.000991,               0.000991,               0.000991
                     93,                0.87537,                0.58154,                 1.2609,                 0.7834,                0.76498,                0.80212,                0.56917,                 1.1511,                 1.0609,                   1.45,               0.000892,               0.000892,               0.000892
                     94,                0.86632,                0.57025,                 1.2511,                0.78418,                0.76609,                0.80291,                0.56937,                 1.1498,                 1.0608,                 1.4487,               0.000793,               0.000793,               0.000793
                     95,                0.85831,                0.56251,                 1.2457,                 0.7841,                0.76958,                0.80332,                0.57049,                 1.1486,                 1.0603,                 1.4478,               0.000694,               0.000694,               0.000694
                     96,                0.85009,                0.55572,                 1.2422,                0.78268,                0.76977,                0.80327,                0.57163,                 1.1483,                 1.0618,                 1.4475,               0.000595,               0.000595,               0.000595
                     97,                0.84477,                0.55192,                 1.2355,                 0.7829,                0.77029,                0.80367,                0.57238,                 1.1478,                 1.0623,                 1.4472,               0.000496,               0.000496,               0.000496
                     98,                0.83829,                0.54438,                 1.2316,                0.78367,                 0.7702,                0.80422,                0.57307,                 1.1477,                 1.0631,                 1.4471,               0.000397,               0.000397,               0.000397
                     99,                0.82934,                0.53639,                 1.2249,                0.78162,                0.77626,                0.80524,                0.57407,                 1.1478,                 1.0647,                 1.4474,               0.000298,               0.000298,               0.000298
                    100,                0.82513,                0.53318,                  1.219,                0.78303,                0.77605,                0.80668,                0.57493,                 1.1471,                 1.0647,                  1.447,               0.000199,               0.000199,               0.000199
