                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0726,                 1.0642,                 1.5521,                0.72163,                0.76276,                0.77978,                0.55448,                   1.13,                  1.162,                 1.5579,               0.006634,               0.006634,               0.006634
                     36,                 1.0736,                 1.0592,                 1.5475,                0.72133,                0.76303,                0.78056,                0.55623,                 1.1282,                 1.1582,                 1.5555,               0.006535,               0.006535,               0.006535
                     37,                 1.0693,                 1.0479,                 1.5426,                0.72233,                0.76538,                0.78293,                0.55845,                 1.1253,                 1.1515,                 1.5519,               0.006436,               0.006436,               0.006436
                     38,                 1.0562,                 1.0268,                 1.5359,                0.72278,                0.76542,                0.78334,                 0.5583,                 1.1236,                 1.1499,                 1.5502,               0.006337,               0.006337,               0.006337
                     39,                 1.0532,                  1.022,                 1.5318,                 0.7233,                0.76361,                0.78404,                0.55996,                 1.1213,                 1.1472,                 1.5481,               0.006238,               0.006238,               0.006238
                     40,                  1.047,                 1.0112,                 1.5235,                0.72522,                0.76511,                0.78542,                0.56175,                 1.1196,                 1.1462,                  1.547,               0.006139,               0.006139,               0.006139
                     41,                  1.046,                 1.0092,                 1.5247,                0.72442,                0.76421,                0.78607,                0.56252,                 1.1185,                 1.1434,                 1.5455,                0.00604,                0.00604,                0.00604
                     42,                 1.0402,                0.99807,                 1.5193,                 0.7245,                 0.7648,                0.78633,                0.56364,                 1.1165,                 1.1408,                 1.5434,               0.005941,               0.005941,               0.005941
                     43,                 1.0372,                0.98687,                 1.5138,                 0.7252,                0.76501,                 0.7877,                0.56502,                 1.1147,                 1.1365,                 1.5407,               0.005842,               0.005842,               0.005842
                     44,                 1.0367,                0.98664,                 1.5123,                0.72689,                0.76422,                0.78791,                0.56584,                 1.1128,                 1.1331,                 1.5382,               0.005743,               0.005743,               0.005743
                     45,                 1.0248,                 0.9634,                 1.5013,                0.72966,                0.76378,                0.78791,                0.56731,                 1.1115,                 1.1315,                 1.5365,               0.005644,               0.005644,               0.005644
                     46,                 1.0154,                0.96231,                  1.497,                0.73053,                0.76369,                0.78845,                0.56728,                   1.11,                 1.1294,                 1.5341,               0.005545,               0.005545,               0.005545
                     47,                 1.0202,                 0.9572,                 1.4968,                0.73379,                0.76236,                0.78908,                0.56856,                 1.1087,                 1.1266,                 1.5324,               0.005446,               0.005446,               0.005446
                     48,                 1.0113,                0.94366,                 1.4913,                 0.7351,                0.76295,                0.78948,                0.56956,                 1.1074,                 1.1265,                 1.5305,               0.005347,               0.005347,               0.005347
                     49,                 1.0069,                0.94077,                 1.4898,                0.73441,                0.76219,                0.79001,                0.57004,                 1.1065,                  1.126,                 1.5296,               0.005248,               0.005248,               0.005248
                     50,                 1.0062,                0.93288,                  1.484,                0.73545,                0.76319,                0.79067,                0.57087,                 1.1049,                 1.1239,                 1.5281,               0.005149,               0.005149,               0.005149
                     51,                0.99908,                0.92404,                 1.4776,                0.73489,                0.76372,                0.79122,                 0.5714,                 1.1033,                 1.1209,                 1.5264,                0.00505,                0.00505,                0.00505
                     52,                0.99081,                0.91824,                 1.4696,                0.73374,                0.76407,                0.79182,                0.57264,                 1.1016,                 1.1183,                 1.5244,               0.004951,               0.004951,               0.004951
                     53,                0.98292,                 0.9148,                 1.4655,                0.73553,                0.76579,                0.79248,                0.57377,                 1.0999,                  1.116,                  1.522,               0.004852,               0.004852,               0.004852
                     54,                 0.9854,                0.90319,                 1.4689,                0.73508,                 0.7668,                 0.7929,                0.57441,                 1.0987,                 1.1127,                 1.5206,               0.004753,               0.004753,               0.004753
                     55,                 0.9876,                0.90534,                 1.4658,                0.73521,                0.76741,                0.79295,                0.57567,                 1.0974,                 1.1092,                 1.5192,               0.004654,               0.004654,               0.004654
                     56,                0.97314,                0.88698,                 1.4537,                0.73614,                 0.7683,                0.79397,                0.57621,                 1.0957,                 1.1053,                 1.5174,               0.004555,               0.004555,               0.004555
                     57,                0.97241,                0.88237,                 1.4553,                0.73523,                0.76889,                0.79462,                0.57677,                 1.0938,                 1.1014,                 1.5155,               0.004456,               0.004456,               0.004456
                     58,                0.96728,                0.88041,                 1.4534,                0.73691,                0.76917,                0.79554,                0.57789,                 1.0924,                    1.1,                 1.5143,               0.004357,               0.004357,               0.004357
                     59,                 0.9654,                0.87155,                 1.4503,                0.73906,                0.76826,                0.79663,                  0.579,                 1.0905,                  1.097,                 1.5123,               0.004258,               0.004258,               0.004258
                     60,                0.95393,                0.86072,                 1.4422,                0.73893,                0.76789,                0.79697,                0.57958,                 1.0895,                 1.0947,                 1.5113,               0.004159,               0.004159,               0.004159
                     61,                0.94913,                0.85316,                 1.4381,                0.74023,                0.76903,                 0.7986,                0.58043,                 1.0884,                 1.0944,                   1.51,                0.00406,                0.00406,                0.00406
                     62,                0.94891,                0.85312,                 1.4372,                0.74547,                0.77023,                0.80091,                0.58261,                 1.0873,                 1.0921,                 1.5087,               0.003961,               0.003961,               0.003961
                     63,                0.94312,                0.83793,                 1.4306,                0.74688,                 0.7697,                  0.802,                0.58305,                  1.087,                 1.0912,                  1.508,               0.003862,               0.003862,               0.003862
                     64,                0.93894,                0.83419,                 1.4276,                0.74872,                0.76986,                0.80263,                0.58423,                 1.0859,                 1.0892,                 1.5067,               0.003763,               0.003763,               0.003763
                     65,                0.93869,                0.82914,                  1.428,                0.74887,                 0.7705,                0.80431,                0.58544,                 1.0847,                 1.0861,                 1.5056,               0.003664,               0.003664,               0.003664
                     66,                0.93345,                0.82264,                 1.4219,                0.75008,                0.77032,                 0.8051,                0.58657,                 1.0839,                 1.0843,                 1.5043,               0.003565,               0.003565,               0.003565
                     67,                0.92783,                0.81517,                 1.4189,                0.74869,                0.77482,                0.80571,                0.58738,                 1.0829,                 1.0836,                 1.5031,               0.003466,               0.003466,               0.003466
                     68,                0.92275,                0.80969,                 1.4102,                0.74965,                0.77444,                0.80612,                0.58732,                 1.0817,                 1.0812,                 1.5017,               0.003367,               0.003367,               0.003367
                     69,                 0.9194,                0.79842,                 1.4099,                0.75194,                0.77336,                0.80651,                0.58815,                 1.0809,                  1.078,                 1.5008,               0.003268,               0.003268,               0.003268
